id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
1,Latvia,Riga,Centrs,Blaumaņa 12,2,45.00,3,Renovēts,109515.00,2433.67,1,56.9546400000,24.1223300000,12,Blaumaņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
2,Latvia,Riga,Dārzciems,Dārzciema 131,3,63.00,1,103. sērija,70000.00,1111.11,1,56.9323600000,24.1822000000,131,DArzciema iela,2019-06-07 08:01:38,2019-06-11 08:00:47
3,Latvia,Riga,Centrs,Skolas 25,4,126.00,4,Pirmskara projekts,185000.00,1468.25,1,56.9592300000,24.1209400000,25,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
4,Latvia,Riga,Ziepniekkalns,Bauskas 45,4,102.00,4,Jaunais projekts,138000.00,1352.94,1,56.9158000000,24.1376900000,145,Bauskas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
5,Latvia,Riga,Ziepniekkalns,Ozolciema 12,3,76.00,9,119. sērija,75100.00,988.16,1,56.9013300000,24.0888500000,12,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
6,Latvia,Riga,Imanta,Slokas 191,2,49.00,5,Lietuviešu projekts,36500.00,744.90,1,56.9633200000,24.0182200000,191,Slokas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
7,Latvia,Riga,Teika,Laimdotas 57,2,42.00,1,Hruščova projekts,38000.00,904.76,1,56.9681600000,24.1872200000,57,Laimdotas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
8,Latvia,Riga,Centrs,Tallinas 23,3,82.00,2,Pirmskara projekts,110000.00,1341.46,1,56.9638600000,24.1361400000,23,Tallinas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
9,Latvia,Riga,Centrs,Valdemāra 71,5,110.00,6,Pirmskara projekts,199900.00,1817.27,1,56.9620200000,24.1230000000,71,Krišjāņa Valdemāra iela,2019-06-07 08:01:38,2019-06-16 08:01:11
10,Latvia,Riga,Mežaparks,Ezermalas 27,2,52.00,8,Specprojekts,65000.00,1250.00,1,57.0010600000,24.1694100000,27,Ezermalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
11,Latvia,Riga,Centrs,Čaka 70,1,56.00,7,Pirmskara projekts,78500.00,1401.79,1,56.9557600000,24.1357600000,70,Aleksandra Čaka iela,2019-06-07 08:01:38,2019-06-16 08:01:11
12,Latvia,Riga,Centrs,Ganību d. 15,3,86.00,5,Pirmskara projekts,109600.00,1274.42,1,56.9736200000,24.1107100000,15,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
13,Latvia,Riga,Centrs,Ganību d. 15,1,32.00,5,Pirmskara projekts,43200.00,1350.00,1,56.9736200000,24.1107100000,15,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
14,Latvia,Riga,Centrs,Ganību d. 15,1,33.00,3,Pirmskara projekts,32400.00,981.82,1,56.9736200000,24.1107100000,15,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
15,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 49,1,29.00,5,Pirmskara projekts,22900.00,789.66,1,56.9455500000,24.1408600000,49,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
16,Latvia,Riga,Centrs,Kalniņa 6,2,46.00,5,Renovēts,123000.00,2673.91,1,56.9497500000,24.1208100000,6,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
17,Latvia,Riga,Purvciems,Ilūkstes 109,3,59.00,5,467. sērija,75000.00,1271.19,1,56.9547900000,24.1961300000,109,Ilūkstes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
18,Latvia,Riga,Ķīpsala,Balasta d. 72,4,178.00,1,Jaunais projekts,430000.00,2415.73,1,56.9587000000,24.0842100000,72,Balasta dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
19,Latvia,Riga,Jugla,Silciema 25,3,79.00,2,Privātmāja,52900.00,669.62,1,56.9835800000,24.2403500000,25,Silciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
20,Latvia,Riga,Jugla,Murjāņu 34,3,58.00,5,Hruščova projekts,49800.00,858.62,1,56.9794800000,24.2470900000,34,Murjāņu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
21,Latvia,Riga,Ķengarags,Aviācijas 1,2,51.00,1,Lietuviešu projekts,45900.00,900.00,1,56.9066200000,24.1937800000,1,Aviācijas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
22,Latvia,Riga,Daugavgrīva,Parādes 20A,2,42.00,4,Hruščova projekts,36900.00,878.57,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
23,Latvia,Riga,Centrs,Birznieka-Upīša 13,3,76.00,3,Jaunais projekts,211000.00,2776.32,1,56.9491100000,24.1264700000,13,Ernesta Birznieka-Upīša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
24,Latvia,Riga,Iļģuciems,Buļļu 31,3,61.00,5,Lietuviešu projekts,55000.00,901.64,1,56.9671900000,24.0555100000,31,Buļļu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
25,Latvia,Riga,Bolderāja,Silikātu 4,4,101.00,3,Staļina projekts,70000.00,693.07,1,57.0286500000,24.0418800000,4,Silikātu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
26,Latvia,Riga,Ķengarags,Aviācijas 5,2,50.00,3,Lietuviešu projekts,38000.00,760.00,1,56.9060700000,24.1955500000,5,Aviācijas iela,2019-06-07 08:01:38,2019-06-16 08:01:10
27,Latvia,Riga,Imanta,Anniņmuižas 38,3,100.00,4,Jaunais projekts,132000.00,1320.00,1,56.9609700000,24.0156700000,38,Anniņmuižas bulvāris,2019-06-07 08:01:38,2019-06-16 08:01:11
28,Latvia,Riga,Vecmīlgrāvis,Vecmīlgrāvja 1. l. 45,3,60.00,5,Lietuviešu projekts,60000.00,1000.00,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
29,Latvia,Riga,Dzegužkalns,Tapešu 44,1,30.00,5,Lietuviešu projekts,27000.00,900.00,1,56.9559100000,24.0463700000,44,Tapešu iela,2019-06-07 08:01:38,2019-06-10 08:01:03
30,Latvia,Riga,Centrs,Ganību d. 13,4,85.00,5,103. sērija,100000.00,1176.47,1,56.9736000000,24.1093600000,13,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
