id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
1,Latvia,Riga,Centrs,Blaumaņa 12,2,45.0,3,Renovēts,109515.0,2433.67,1,56.95464,24.12233,12.0,Blaumaņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
2,Latvia,Riga,Citi,Dārzciema 131,3,63.0,1,103. sērija,70000.0,1111.11,1,56.93236,24.1822,131.0,DArzciema iela,2019-06-07 08:01:38,2019-06-11 08:00:47
3,Latvia,Riga,Centrs,Skolas 25,4,126.0,4,Pirmskara projekts,185000.0,1468.25,1,56.95923,24.12094,25.0,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
4,Latvia,Riga,Ziepniekkalns,Bauskas 45,4,102.0,4,Jaunais projekts,138000.0,1352.94,1,56.9158,24.13769,145.0,Bauskas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
5,Latvia,Riga,Ziepniekkalns,Ozolciema 12,3,76.0,9,119. sērija,75100.0,988.16,1,56.90133,24.08885,12.0,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
6,Latvia,Riga,Imanta,Slokas 191,2,49.0,5,Lietuviešu projekts,36500.0,744.9,1,56.96332,24.01822,191.0,Slokas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
7,Latvia,Riga,Teika,Laimdotas 57,2,42.0,1,Hruščova projekts,38000.0,904.76,1,56.96816,24.18722,57.0,Laimdotas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
8,Latvia,Riga,Centrs,Tallinas 23,3,82.0,2,Pirmskara projekts,110000.0,1341.46,1,56.96386,24.13614,23.0,Tallinas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
9,Latvia,Riga,Centrs,Valdemāra 71,5,110.0,6,Pirmskara projekts,199900.0,1817.27,1,56.96202,24.123,71.0,Krišjāņa Valdemāra iela,2019-06-07 08:01:38,2019-06-16 08:01:11
10,Latvia,Riga,Mežaparks,Ezermalas 27,2,52.0,8,Specprojekts,65000.0,1250.0,1,57.00106,24.16941,27.0,Ezermalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
11,Latvia,Riga,Centrs,Čaka 70,1,56.0,7,Pirmskara projekts,78500.0,1401.79,1,56.95576,24.13576,70.0,Aleksandra Čaka iela,2019-06-07 08:01:38,2019-06-16 08:01:11
12,Latvia,Riga,Centrs,Ganību d. 15,3,86.0,5,Pirmskara projekts,109600.0,1274.42,1,56.97362,24.11071,15.0,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
13,Latvia,Riga,Centrs,Ganību d. 15,1,32.0,5,Pirmskara projekts,43200.0,1350.0,1,56.97362,24.11071,15.0,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
14,Latvia,Riga,Centrs,Ganību d. 15,1,33.0,3,Pirmskara projekts,32400.0,981.82,1,56.97362,24.11071,15.0,Ganību dambis,2019-06-07 08:01:38,2019-06-16 08:01:11
15,Latvia,Riga,Maskavas priekšpilsēta,Daugavpils 49,1,29.0,5,Pirmskara projekts,22900.0,789.66,1,56.94555,24.14086,49.0,Daugavpils iela,2019-06-07 08:01:38,2019-06-16 08:01:11
16,Latvia,Riga,Centrs,Kalniņa 6,2,46.0,5,Renovēts,123000.0,2673.91,1,56.94975,24.12081,6.0,Alfrēda Kalniņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
