op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Ieroču 6,2,33.0,1.0,2.0,P. kara,Wood,Partial amenities,13500.0,56.9750922,24.1398842
For sale,Ķengarags,Maskavas 305,2,50.0,5.0,5.0,LT proj.,Panel,All amenities,34000.0,56.8597884,24.3083417
For sale,Ķengarags,Lokomotīves 20,2,37.0,5.0,5.0,Specpr.,Brick,All amenities,31000.0,56.91527335,24.18936465
For sale,Citi,Mores 3,2,46.0,4.0,5.0,Hrušč.,Panel,All amenities,39999.0,57.0188111,24.13501185
For sale,Jugla,Baltezera 1,3,58.0,4.0,5.0,Specpr.,Brick,All amenities,50000.0,56.9927003,24.2400597
For sale,Mežciems,Gaiļezera 4,2,50.0,1.0,9.0,602.,Panel,All amenities,53000.0,56.96794800000001,24.23515863117775
For sale,Maskavas priekšpilsēta,Maskavas 291 k1,3,60.0,2.0,5.0,LT proj.,Panel,All amenities,48000.0,56.922806900000005,24.1703845
For sale,Zolitūde,Zolitūdes 46/2,1,46.0,9.0,9.0,119.,Panel,All amenities,38500.0,56.9461963,24.0014164
For sale,Mežciems,Celmu 5,2,36.0,1.0,5.0,LT proj.,Panel,All amenities,46000.0,56.9736358,24.233530915029387
For sale,centrs,Krāsotāju 25,2,36.0,5.0,5.0,P. kara,Masonry,All amenities,54900.0,56.9562996,24.1467585
For sale,Ķengarags,Maskavas 268/5,3,60.0,3.0,5.0,Hrušč.,Panel,All amenities,56500.0,56.89458570000001,24.2163422
For sale,Mežciems,Eizenšteina 57,3,62.0,6.0,9.0,602.,Panel,All amenities,52500.0,56.96342305,24.23512972519864
For sale,Purvciems,Dzelzavas 13,2,44.0,4.0,5.0,Hrušč.,Brick,Without amenities,39000.0,56.9636785,24.17061673832456
For sale,Citi,Valtera 5,4,78.0,1.0,9.0,602.,Panel,All amenities,91000.0,56.94692714999999,24.23651135625275
For sale,Ķengarags,Prūšu 22,2,42.0,3.0,5.0,Hrušč.,Brick,All amenities,45900.0,56.9134761,24.18677075
For sale,Pļavnieki,Dzeņu 12,1,35.0,1.0,9.0,602.,Brick-Panel,All amenities,37000.0,56.9397226,24.21262436641396
For sale,Imanta,Slokas 130a,2,62.0,3.0,5.0,Jaun.,Masonry,All amenities,120000.0,56.96485355,24.01574948511005
For sale,Ķengarags,Festivāla 1,3,55.0,3.0,5.0,Specpr.,Brick,All amenities,43000.0,56.90348845,24.20369795
For sale,centrs,Tērbatas 46,3,85.0,3.0,6.0,P. kara,Brick,All amenities,170000.0,56.9559527,24.1267505
For sale,Teika,Brīvības gatve 313,3,79.0,3.0,5.0,Specpr.,Brick-Panel,All amenities,85000.0,56.98279245000001,24.19636687544211
